latitude,longitude,mean_solar_incidence_kwh_m2_per_hour,rank
47.9,9.6,1.8021210993715846,817
47.0,8.2,1.8019538114071039,818
47.0,8.0,1.801953449672131,819
47.1,8.6,1.80188504226776,820
47.3,6.1,1.8018320140027322,821
47.0,7.9,1.8016348909836064,822
47.0,8.1,1.8015910246448086,823
47.4,10.0,1.8012975076885245,824
47.0,7.2,1.8011759772131146,825
47.2,6.6,1.8011549391092898,826
47.0,7.8,1.8009953484972678,827
47.7,10.1,1.800409175737705,828
47.3,6.2,1.8003014671147544,829
47.9,9.5,1.7997059589617488,830
47.3,9.4,1.7996141552459015,831
47.8,9.8,1.799324192295082,832
47.0,7.7,1.7992705027978144,833
47.3,6.3,1.7991820998087433,834
47.0,7.3,1.7989156776393442,835
47.6,10.1,1.7988465472404371,836
47.3,9.6,1.7981636431857924,837
47.9,9.4,1.7981506821311477,838
47.3,6.4,1.797890285,839
47.0,7.4,1.7977846594262297,840
47.5,10.0,1.7977496292896176,841
47.1,6.9,1.7977324790983606,842
47.7,10.0,1.7973024934972677,843
